network,name,latitude,longitude,free_bikes,empty_slots,slots,calculated_total
bixi_montreal,Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,7,12,19,19
bixi_montreal,Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,14,22,37,36
bixi_montreal,Hudson / Goyer,45.507437367855864,-73.63265757772751,11,12,23,23
bixi_montreal,Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,9,17,29,26
bixi_montreal,du Fort Saint-Louis / de la Perrière,45.613330089384625,-73.45154017210007,8,7,15,15
bixi_montreal,Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,4,15,19,19
bixi_montreal,de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,0,34,37,34
bixi_montreal,Rivard / du Mont-Royal,45.524558956532104,-73.58263313770294,4,21,27,25
bixi_montreal,Hamilton / Jolicoeur,45.45670692115263,-73.59764814376831,10,5,15,15
bixi_montreal,de Lisieux / Jean-Talon,45.57934937043077,-73.58168095350266,11,7,18,18
bixi_montreal,Drolet / Beaubien,45.533348,-73.605834,10,12,23,22
bixi_montreal,Parc LaSalle (10e avenue / Victoria),45.43805550384184,-73.67273926734924,7,12,19,19
bixi_montreal,CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,1,17,18,18
bixi_montreal,Parc de Montréal-Est (Notre-Dame / David),45.61316323215739,-73.50989364087582,5,14,19,19
bixi_montreal,Boyer / Bélanger,45.54006,-73.60897,6,19,27,25
bixi_montreal,Mackay / René-Lévesque,45.49445745087875,-73.57411649085407,18,16,35,34
bixi_montreal,University / Prince-Arthur,45.5074794530521,-73.57864737510681,17,30,47,47
bixi_montreal,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),45.49624140543275,-73.62983867526054,12,24,37,36
bixi_montreal,Poupart / Ontario,45.531836726498305,-73.55348825454712,5,14,19,19
bixi_montreal,Logan / Lafayette,45.51654502289009,-73.50663459861607,5,17,23,22
bixi_montreal,Parc St-Roch (Ball / Durocher),45.531988684096795,-73.63144129514694,6,8,15,14
bixi_montreal,Letourneux / Hochelaga,45.55465888075087,-73.54660302400589,8,7,15,15
bixi_montreal,Faribault / de Chambly,45.52219254225171,-73.4650525078905,7,12,19,19
bixi_montreal,Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,7,13,23,20
bixi_montreal,des Ormeaux /  Notre-Dame,45.59919866666637,-73.5121876001358,0,23,23,23
bixi_montreal,Duluth  / St-Denis,45.52062760607925,-73.57594907283782,13,1,15,14
bixi_montreal,Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,10,19,31,29
bixi_montreal,Parc Armand-Bombardier (Perras / Armand-Bombardier),45.6391233,-73.5961118,8,6,15,14
bixi_montreal,Canning / Notre-Dame,45.486318644010225,-73.5702332854271,2,25,27,27
bixi_montreal,Parc Howard (de l'Épée / de Liège),45.533376932033164,-73.64228380847635,8,13,21,21
bixi_montreal,de l'Hôtel-de-Ville / Ontario,45.51374520222444,-73.56666326522826,5,21,27,26
bixi_montreal,Marché public de Longueuil (de la Savane),45.51284242857164,-73.43156225049825,6,15,21,21
bixi_montreal,Collège de Maisonneuve (Sherbrooke / Bourbonnière),45.55144364425768,-73.55469642207026,1,14,17,15
bixi_montreal,Parc du Père-Marquette (de Bellechasse / de Lanaudière),45.539306918976,-73.59521873295307,7,12,19,19
bixi_montreal,Métro Monk (Allard / Briand),45.45133291842274,-73.59250903129578,16,6,23,22
bixi_montreal,Jacques-Le Ber / de la Pointe Nord,45.47259900304475,-73.5398056358099,2,24,27,26
bixi_montreal,Ste-Famille / des Pins,45.512856179335664,-73.57692807912827,6,17,23,23
bixi_montreal,Boyer / Rosemont,45.53409866804061,-73.59553456306458,15,14,31,29
bixi_montreal,Montcalm / de Maisonneuve,45.519131967116216,-73.55788965214742,5,10,15,15
bixi_montreal,Victoria Hall (Sherbrooke),45.48129146961133,-73.6003303527832,1,14,15,15
bixi_montreal,de Bordeaux / Rachel,45.53207532297607,-73.56769983980485,3,19,23,22
bixi_montreal,Everett / Garnier,45.54758153109644,-73.61220851540565,1,21,23,22
bixi_montreal,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,39,40,81,79
bixi_montreal,Marché St-Jacques (Atateken),45.520665992418884,-73.5639146839003,24,3,27,27
bixi_montreal,Notre-Dame-de-Grâce / Décarie,45.477332647079656,-73.61529976129532,7,8,15,15
bixi_montreal,Bishop / de Maisonneuve,45.49720422766309,-73.5777654405865,20,3,23,23
bixi_montreal,Gauthier / de Lorimier,45.53166363055749,-73.56536373496056,8,10,19,18
bixi_montreal,Park Row O / Sherbrooke,45.46072936353252,-73.63407254219055,4,13,19,17
bixi_montreal,Carrefour Angrignon (Angrignon / Newman),45.44843408492706,-73.6129454523325,4,13,17,17
bixi_montreal,Métro Radisson (Sherbrooke / des Groseilliers),45.58917500418707,-73.53965610265732,1,17,19,18
bixi_montreal,de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,16,21,39,37
bixi_montreal,Parc Jarry (Dautry / de Lorne),45.52311386011815,-73.81716683506966,7,19,27,26
