station,station_lat,station_lon,place_name,category,distance,poi_latitude,poi_longitude
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Benelux,Beer Bar,97,45.463481,-73.566793
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Station W,Café,298,45.465472,-73.566614
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,BOSSA Prêt-à-manger,Deli,273,45.460468,-73.566939
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Maison de Thé Cha Noir,Tea Room,538,45.458128379485004,-73.56761102986003
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Bar Palco,Lounge,121,45.46353,-73.567133
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Le Trèfle - Verdun,Pub,593,45.457567,-73.567185
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Rex Pizza,Pizzeria,652,45.457101,-73.567751
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Villa Wellington,Peruvian Restaurant,589,45.457671,-73.567672
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Restaurant Crescendo,Italian Restaurant,912,45.454737,-73.563951
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,El Sabor de Mexico,Mexican Restaurant,796,45.455793,-73.567854
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,La Finca café & bureau,Café,270,45.504677,-73.563069
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Crew Collective & Café,Café,293,45.502369,-73.559219
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Tiradito,Bar,275,45.504444,-73.563353
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Helena,Mediterranean Restaurant,400,45.500401,-73.558236
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Holder Restaurant Bar,French Restaurant,455,45.500416,-73.557462
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Chez Delmo,French Restaurant,369,45.502954,-73.558366
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Il Focolaio Pizza Resto,Pizzeria,462,45.504007,-73.568085
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Brit & Chips,Fish and Chips Shop,408,45.500632,-73.55805
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Nyks Bistro Pub,Bar,541,45.506024,-73.566648
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Time Out Market Montréal,Restaurant,668,45.502801,-73.571533
Hudson / Goyer,45.50743736785586,-73.63265757772751,La Sirène de la Mer,Lebanese Restaurant,989,45.516191,-73.630334
Hudson / Goyer,45.50743736785586,-73.63265757772751,Restaurant Phnom Penh,Cambodian Restaurant,736,45.505274,-73.641594
Hudson / Goyer,45.50743736785586,-73.63265757772751,Restaurant Nguyen Phi,Vietnamese Restaurant,686,45.501295,-73.633567
Hudson / Goyer,45.50743736785586,-73.63265757772751,Tim Hortons,"Cafe, Coffee, and Tea House",798,45.500342,-73.630242
Hudson / Goyer,45.50743736785586,-73.63265757772751,Harvey's,Fast Food Restaurant,567,45.503435,-73.637174
Hudson / Goyer,45.50743736785586,-73.63265757772751,Pho Hoa,Vietnamese Restaurant,718,45.500971,-73.632781
Hudson / Goyer,45.50743736785586,-73.63265757772751,Tim Hortons,"Cafe, Coffee, and Tea House",549,45.508845,-73.625682
Hudson / Goyer,45.50743736785586,-73.63265757772751,Sushi Plus,Sushi Restaurant,860,45.499822,-73.630661
Hudson / Goyer,45.50743736785586,-73.63265757772751,Brochetterie Parthenon,Fast Food Restaurant,680,45.501325,-73.632115
Hudson / Goyer,45.50743736785586,-73.63265757772751,Subway,Deli,616,45.508859,-73.625004
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Le Roi du Taco,Taco Restaurant,138,45.536434,-73.615936
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Cafe Italia,Café,277,45.532772,-73.614409
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Brasserie Harricana,Comfort Food Restaurant,340,45.533806,-73.619387
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Chez Tousignant,American Restaurant,260,45.536166,-73.612437
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Café Larue & Fils,Café,350,45.537641,-73.618011
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Le Marquis Sans Gluten,Bakery,435,45.538723,-73.617901
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Le Pain Dans les Voiles,Bakery,428,45.538668,-73.617851
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Vices & Versa Bistro du Terroir,Beer Bar,573,45.531316,-73.61063
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Resto Los Planes,American Restaurant,506,45.538469,-73.610962
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,Pizzeria Napoletana,Pizzeria,247,45.534344,-73.612571
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Saint-Laurent café boutique,Café,218,45.61316,-73.454341
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Milan Pizzeria,Pizzeria,132,45.612262,-73.450771
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Sushi Hamachi,Sushi Restaurant,964,45.61117,-73.439527
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Subway,Deli,500,45.608849,-73.450865
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Le Vieux,Karaoke Bar,94,45.613123,-73.45036
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Les Touillés Café-Traiteur,Café,422,45.611418,-73.456231
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Cremerie du Vieux,Ice Cream Parlor,468,45.61079,-73.456359
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Pizza Express,Pizzeria,506,45.608791,-73.450912
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Épicerie Coup de Pousse - Vrac & Zéro Déchet,Deli,547,45.617343,-73.455629
du Fort Saint-Louis / de la Perrière,45.61333008938463,-73.45154017210007,Chez Viets,Diner,562,45.617278,-73.456064
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Bar George,Hotel Bar,47,45.499081,-73.575675
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Maison Boulud,French Restaurant,175,45.499998,-73.578077
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Joe's Panini,Fast Food Restaurant,123,45.498641,-73.574983
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Reuben's Deli,Deli,226,45.499685,-73.573082
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Deville Dinerbar,Diner,142,45.499792,-73.574245
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Gyu-Kaku BBQ,BBQ Joint,280,45.497049,-73.575029
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Café Myriade,Café,404,45.496028,-73.577756
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Ye Olde Orchard Pub & Grill,Pub,324,45.497252,-73.573437
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Brass Door,Pub,213,45.498683,-73.578471
Drummond / de Maisonneuve,45.49947991442336,-73.5759771368248,Wienstein & Gavino's,Italian Restaurant,213,45.497525,-73.576739
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Il Focolaio Pizza Resto,Pizzeria,229,45.504007,-73.568085
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Time Out Market Montréal,Restaurant,276,45.502801,-73.571533
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Nyks Bistro Pub,Bar,356,45.506024,-73.566648
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Café Humble Lion,Café,396,45.503303,-73.574745
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,La Finca café & bureau,Café,591,45.504677,-73.563069
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Chocolats Favoris,Ice Cream Parlor,535,45.507869,-73.56535
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,The Keg Steakhouse + Bar,Steakhouse,436,45.500741,-73.569482
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,La Cage,Sports Bar,495,45.507651494601,-73.565355396469
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Cadet,Restaurant,736,45.510388,-73.564365
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,Tiradito,Bar,568,45.504444,-73.563353
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Café Myriade - le Plateau,Coffee Shop,136,45.52481,-73.584349
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Boulangerie le Toledo,Bakery,129,45.523577,-73.583534
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Ibéricos Taverne à Tapas Espagnoles,Tapas Restaurant,73,45.523943,-73.582287
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Le Parloir,Tea Room,492,45.526887,-73.577245
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Yokato Yokabai,Deli,483,45.521237,-73.578469
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Aux Vivres,Vegan and Vegetarian Restaurant,598,45.521318,-73.588403
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Le Bar Darling,Lounge,628,45.518909,-73.583965
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Grillade Portuguaise ma Poule Mouillée,Bakery,595,45.525165,-73.575301
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Fous Desserts,Bakery,650,45.529172,-73.587785
Rivard / du Mont-Royal,45.5245589565321,-73.58263313770294,Hof Kelsten,Bakery,574,45.520322,-73.587111
Hamilton / Jolicoeur,45.45670692115263,-73.59764814376831,McKiernan Luncheonette,Restaurant,807,45.463803,-73.595447
