station,station_lat,station_lon,business_name,category,rating,review_count,distance_m,biz_lat,biz_lon,address
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Les Street Monkeys,Cambodian,4.4,83,546.9797254282108,45.46767,-73.56688,3625 Rue Wellington
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Joe Beef,Seafood,4.3,849,2365.240370249893,45.483062,-73.575308,2491 Rue Notre-Dame Ouest
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Monarque,Brasseries,4.5,235,4347.9223923475965,45.50158,-73.55962,406 Rue Saint-Jacques
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Beba,Argentine,4.7,31,269.70672232583547,45.4648687681207,-73.56781391229633,3900 Rue Éthel
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Bistro Entre Ciel et Terre,French,4.1,34,553.6056103210236,45.4629621,-73.5730338,750 Rue de l'Eglise
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Foiegwa,French,4.2,274,2258.6199517158802,45.48127,-73.57831,3001 Rue Notre-Dame O
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,L'Avenue,Breakfast & Brunch,4.5,227,2194.1146931386324,45.47958298657722,-73.58080746734258,3612 Rue Notre-Dame Ouest
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Knox,Pubs,4.4,22,2250.936507014102,45.4829149648052,-73.562322,1871 Rue du Centre
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Comon,Korean,4.6,41,174.23388260053372,45.46413,-73.56487,3969 Boulevard LaSalle
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973,Rita,Italian,3.9,27,473.0993880510096,45.467,-73.5669,3681 Rue Wellington
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Monarque,Brasseries,4.5,235,247.23995770574658,45.50158,-73.55962,406 Rue Saint-Jacques
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Olive + Gourmando,Sandwiches,4.3,1741,513.5729672107306,45.501197,-73.5564745926598,351 Rue Saint-Paul O
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Modavie,French,4.1,1040,789.4838104478418,45.50548,-73.55396,1 Rue Saint-Paul O
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Jardin Nelson,Creperies,4.1,720,1035.6492873801417,45.5079539,-73.55262223588781,407 Place Jacques-Cartier
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,N° 900,Pizza,4.3,57,404.4382458117215,45.500436,-73.558316,444 Rue McGill
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Pincette,Seafood,4.4,70,915.7433367985209,45.5064,-73.55293,94 Rue Saint Paul E
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Neo Tokyo,Ramen,4.6,13,132.69442184924358,45.50321141075191,-73.5623789805521,425 Avenue Viger O
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Marcella,Italian,4.3,35,620.1114077987672,45.5027245,-73.555037,363 R. Saint-François-Xavier
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,Dandy,Breakfast & Brunch,4.5,161,367.0619604947905,45.5033,-73.55857,244 Rue Saint-Jacques
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,NYK'S,Pubs,4.1,220,527.0410873393666,45.5060324,-73.566685,1250 Rue de Bleury
Hudson / Goyer,45.50743736785586,-73.63265757772751,Damas,Syrian,4.7,476,2262.635691934451,45.52258,-73.61344,1201 Avenue Van Horne
Hudson / Goyer,45.50743736785586,-73.63265757772751,Le Majestique,Bars,4.4,221,4234.5224259652405,45.5175436,-73.5802618,4105 Boulevard Saint-Laurent
